code,titlemerge
f.3,Verbal_interview_duration
f.4,Biometrics_duration
f.5,Sample_collection_duration
f.6,Conclusion_duration
f.19,Heel_ultrasound_method
f.21,Weight_method
f.23,Spirometry_method
f.31,Sex
f.33,Date_of_birth
f.34,Year_of_birth
f.35,Was_blood_sampling_attempted
f.36,Blood_pressure_device_ID
f.37,Blood_pressure_manual_sphygmomanometer_device_ID
f.38,Hand_grip_dynamometer_device_ID
f.39,Height_measure_device_ID
f.40,Manual_scales_device_ID
f.41,Seating_box_device_ID
f.42,Spirometer_device_ID
f.43,Impedance_device_ID
f.44,Tape_measure_device_ID
f.45,Heel_ultrasound_device_id
f.46,Hand_grip_strength_(left)
f.47,Hand_grip_strength_(right)
f.48,Waist_circumference
f.49,Hip_circumference
f.50,Standing_height
f.51,Seated_height
f.52,Month_of_birth
f.53,Date_of_attending_assessment_centre
f.54,UK_Biobank_assessment_centre
f.55,Month_of_attending_assessment_centre
f.62,Willing_to_attempt_cognitive_tests
f.68,Number_of_blood_samples_taken
f.74,Fasting_time
f.77,Heel_bone_ultrasound_T-score_manual_entry
f.78,Heel_bone_mineral_density_(BMD)_T-score_automated
f.84,Cancer_year/age_first_occurred
f.87,Non-cancer_illness_year/age_first_occurred
f.92,Operation_year/age_first_occurred
f.93,Systolic_blood_pressure_manual_reading
f.94,Diastolic_blood_pressure_manual_reading
f.95,Pulse_rate_(during_blood-pressure_measurement)
f.96,Time_since_interview_start_at_which_blood_pressure_screen(s)_shown
f.102,Pulse_rate_automated_reading
f.111,Aide-memoire_completed
f.115,Father's_month_of_birth
f.117,Mother's_month_of_birth
f.118,Mother's_day_of_birth
f.120,Birth_weight_known
f.129,Place_of_birth_in_UK_north_co-ordinate
f.130,Place_of_birth_in_UK_east_co-ordinate
f.132,Job_code_at_visit_entered
f.134,Number_of_self-reported_cancers
f.135,Number_of_self-reported_non-cancer_illnesses
f.136,Number_of_operations_self-reported
f.137,Number_of_treatments/medications_taken
f.146,Father's_day_of_birth
f.189,Townsend_deprivation_index_at_recruitment
f.190,Reason_lost_to_follow-up
f.191,Date_lost_to_follow-up
f.200,Date_of_consenting_to_join_UK_Biobank
f.393,Program_(tactus)_version_ID_(compiler_timestamp)
f.396,Number_of_columns_displayed_in_round
f.397,Number_of_rows_displayed_in_round
f.398,Number_of_correct_matches_in_round
f.399,Number_of_incorrect_matches_in_round
f.400,Time_to_complete_round
f.401,Index_for_card_A_in_round
f.402,Index_for_card_B_in_round
f.403,Number_of_times_snap-button_pressed
f.404,Duration_to_first_press_of_snap-button_in_each_round
f.630,Touchscreen_duration
f.670,Type_of_accommodation_lived_in
f.680,Own_or_rent_accommodation_lived_in
f.699,Length_of_time_at_current_address
f.709,Number_in_household
f.728,Number_of_vehicles_in_household
f.738,Average_total_household_income_before_tax
f.757,Time_employed_in_main_current_job
f.767,Length_of_working_week_for_main_job
f.777,Frequency_of_travelling_from_home_to_job_workplace
f.796,Distance_between_home_and_job_workplace
f.806,Job_involves_mainly_walking_or_standing
f.816,Job_involves_heavy_manual_or_physical_work
f.826,Job_involves_shift_work
f.845,Age_completed_full_time_education
f.864,Number_of_days/week_walked_10+_minutes
f.874,Duration_of_walks
f.884,Number_of_days/week_of_moderate_physical_activity_10+_minutes
f.894,Duration_of_moderate_activity
f.904,Number_of_days/week_of_vigorous_physical_activity_10+_minutes
f.914,Duration_of_vigorous_activity
f.924,Usual_walking_pace
f.943,Frequency_of_stair_climbing_in_last_4_weeks
f.971,Frequency_of_walking_for_pleasure_in_last_4_weeks
f.981,Duration_walking_for_pleasure
f.991,Frequency_of_strenuous_sports_in_last_4_weeks
f.1001,Duration_of_strenuous_sports
f.1011,Frequency_of_light_DIY_in_last_4_weeks
f.1021,Duration_of_light_DIY
f.1031,Frequency_of_friend/family_visits
f.1050,Time_spend_outdoors_in_summer
f.1060,Time_spent_outdoors_in_winter
